dataset,method,qnames,median_s,min_s,max_s
Illumina,qbix query order,1,0.00,0.00,0.00
Illumina,qbix query order,10,0.00,0.00,0.00
Illumina,qbix query order,100,0.01,0.01,0.01
Illumina,qbix query order,1000,0.12,0.12,0.12
Illumina,qbix query order,10000,0.96,0.95,0.98
Illumina,qbix BAM order,1,0.00,0.00,0.00
Illumina,qbix BAM order,10,0.00,0.00,0.00
Illumina,qbix BAM order,100,0.01,0.01,0.01
Illumina,qbix BAM order,1000,0.12,0.12,0.13
Illumina,qbix BAM order,10000,0.89,0.89,0.91
Illumina,Atlantool,1,0.02,0.02,0.03
Illumina,Atlantool,10,0.03,0.03,0.04
Illumina,Atlantool,100,0.14,0.13,0.14
Illumina,Atlantool,1000,0.91,0.90,0.92
Illumina,Atlantool,10000,5.66,5.61,5.71
Illumina,samtools full scan,1,4.85,4.84,4.87
Illumina,samtools full scan,10,4.84,4.82,4.85
Illumina,samtools full scan,100,4.86,4.84,4.93
Illumina,samtools full scan,1000,4.89,4.85,4.94
Illumina,samtools full scan,10000,4.85,4.82,4.91
PacBio HiFi,qbix query order,1,0.00,0.00,0.00
PacBio HiFi,qbix query order,10,0.00,0.00,0.00
PacBio HiFi,qbix query order,100,0.01,0.01,0.01
PacBio HiFi,qbix query order,1000,0.09,0.09,0.09
PacBio HiFi,qbix query order,10000,0.70,0.69,0.70
PacBio HiFi,qbix BAM order,1,0.00,0.00,0.00
PacBio HiFi,qbix BAM order,10,0.00,0.00,0.00
PacBio HiFi,qbix BAM order,100,0.01,0.01,0.01
PacBio HiFi,qbix BAM order,1000,0.09,0.08,0.09
PacBio HiFi,qbix BAM order,10000,0.67,0.67,0.69
PacBio HiFi,Atlantool,1,0.00,0.00,0.00
PacBio HiFi,Atlantool,10,0.01,0.01,0.01
PacBio HiFi,Atlantool,100,0.07,0.07,0.08
PacBio HiFi,Atlantool,1000,0.43,0.42,0.44
PacBio HiFi,Atlantool,10000,3.06,3.04,3.11
PacBio HiFi,samtools full scan,1,3.87,3.82,3.90
PacBio HiFi,samtools full scan,10,3.89,3.86,3.93
PacBio HiFi,samtools full scan,100,3.84,3.82,3.89
PacBio HiFi,samtools full scan,1000,3.88,3.83,3.92
PacBio HiFi,samtools full scan,10000,3.90,3.89,4.00
Oxford Nanopore,qbix query order,1,0.01,0.01,0.01
Oxford Nanopore,qbix query order,10,0.01,0.01,0.01
Oxford Nanopore,qbix query order,100,0.03,0.03,0.03
Oxford Nanopore,qbix query order,1000,0.19,0.18,0.19
Oxford Nanopore,qbix query order,10000,1.58,1.56,1.59
Oxford Nanopore,qbix BAM order,1,0.01,0.01,0.01
Oxford Nanopore,qbix BAM order,10,0.01,0.01,0.01
Oxford Nanopore,qbix BAM order,100,0.03,0.03,0.03
Oxford Nanopore,qbix BAM order,1000,0.19,0.19,0.20
Oxford Nanopore,qbix BAM order,10000,1.47,1.45,1.50
Oxford Nanopore,Atlantool,1,0.23,0.23,0.23
Oxford Nanopore,Atlantool,10,0.24,0.23,0.24
Oxford Nanopore,Atlantool,100,0.32,0.31,0.32
Oxford Nanopore,Atlantool,1000,0.93,0.92,0.95
Oxford Nanopore,Atlantool,10000,5.54,5.48,5.63
Oxford Nanopore,samtools full scan,1,16.93,16.90,17.03
Oxford Nanopore,samtools full scan,10,16.92,16.88,16.99
Oxford Nanopore,samtools full scan,100,16.97,16.93,17.00
Oxford Nanopore,samtools full scan,1000,17.04,16.97,17.08
Oxford Nanopore,samtools full scan,10000,17.16,17.06,17.23
